"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","ICB_study","GSM_ID","Cell_Line","Cancer_type","Study_ID"
"SRX5100779",0.0020279964,0.0007486404,8.434116e-05,0.0003478588,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554731","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100773",0.001867611,0.00047111676,2.063958e-05,0.00014823808,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554732","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100709",0.0037409094,0.0009616254,0.0005450034,0.0007164052,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554733","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100712",0,0.000456978,0.0008481252,0.0005781506,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554734","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100711",0.0022124166,0.00051354888,0,0.000269193,"antiPD1; antiCTLA4;","UV_day3","day3","R","GSM3554735","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100714",0.0030503694,0.0006799548,1.9906518e-05,0.0003770074,"antiPD1; antiCTLA4;","UV_day3","day3","R","GSM3554736","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100713",0.003293007,0.0007082286,0,0.0004873732,"no_treatment","UV_day7","day7","Baseline","GSM3554737","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100716",0.0030053406,0.00059674356,0.00017795396,0.0002651262,"no_treatment","UV_day7","day7","Baseline","GSM3554738","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100715",0.00279591,0.0006447348,0.00016461588,0.0005770782,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554739","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100708",0.004482186,0.001394697,0.0005333106,0.0008706402,"no_treatment","UV_day7","day7","Baseline","GSM3554740","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100707",0.0037913844,0.0010366464,7.378146e-05,0.000702162,"no_treatment","UV_day7","day7","Baseline","GSM3554741","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100619",0.00024616602,0.00057440382,0.002410388,0.0008075568,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554742","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100620",0.0051339528,0.0018295374,0.000726587,0.0009367704,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554743","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100621",0.0048424854,0.00057688332,0.00208491,0.000874022,"antiPD1; antiCTLA4;","UV_day7","day7","R","GSM3554744","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100605",0.0023861838,0.00048438018,2.344634e-05,0.0002222348,"no_treatment","UV_end","end","Baseline","GSM3554745","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100604",0.0042887622,0.001399056,0,0.0004458304,"no_treatment","UV_end","end","Baseline","GSM3554746","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100766",0.0014485092,0.00037977348,3.117824e-05,0.00018638352,"no_treatment","UV_end","end","Baseline","GSM3554747","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100767",0.003072243,0.0007802376,0,0.000333934,"no_treatment","UV_end","end","Baseline","GSM3554748","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100590",0.0021178392,0.00038570862,0,0.00015343686,"no_treatment","UV_end","end","Baseline","GSM3554749","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100608",0.0023763546,0.0002808342,1.5434048e-05,0.00014665432,"no_treatment","UV_end","end","Baseline","GSM3554750","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100645",0,0.00030093744,2.531828e-05,2.867546e-05,"no_treatment","day3","day3",NA,"GSM3554785","p53-2153F","Mammary cancer, NOS","GSE124821"
"SRX5100721",0,0.0002087886,3.232138e-06,0.00010941998,"no_treatment","day3","day3",NA,"GSM3554786","p53-2153F","Mammary cancer, NOS","GSE124821"
"SRX5100644",0,0.00019347816,0,0.0001393932,"no_treatment","day3","day3",NA,"GSM3554787","p53-2153F","Mammary cancer, NOS","GSE124821"
"SRX5100757",0,0.00025048626,1.596379e-05,0.0002432966,"no_treatment","day3","day3",NA,"GSM3554788","p53-2153F","Mammary cancer, NOS","GSE124821"
"SRX5100774",0.00030476694,0.00034093296,0,0.0002255334,"no_treatment","end","end",NA,"GSM3554789","p53-2224","Mammary cancer, NOS","GSE124821"
"SRX5100674",0.00018480696,0.00052788534,0,0.0002950112,"no_treatment","end","end","Baseline","GSM3554790","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100756",0.00017936934,0.00026281608,0,0.0001697364,"no_treatment","day3","day3","Baseline","GSM3554791","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100607",0.00053868666,0.00029417448,0,0.00018004834,"no_treatment","day3","day3","Baseline","GSM3554792","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100606",0,0.0002708214,0,9.442894e-05,"no_treatment","day3","day3","Baseline","GSM3554793","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100650",0.00054142842,0.00036371022,0,0.0002111886,"no_treatment","day3","day3","Baseline","GSM3554794","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100701",0.0008067756,0.00034668576,0,0.0002341746,"no_treatment","day3","day3","Baseline","GSM3554795","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100782",0.0009429636,0.00047381784,0,0.0002119092,"no_treatment","day3","day3","Baseline","GSM3554796","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100781",0.0012098646,0.00046463238,0,0.0002442342,"no_treatment","day3","day3","Baseline","GSM3554797","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100728",0.0010031016,0.00041734806,0,0.0002296096,"no_treatment","day3","day3","Baseline","GSM3554798","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100700",0.0007131156,0.00032708376,0,0.00015826882,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554799","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100729",0.0007093716,0.00033428688,0,0.0002502674,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554800","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100730",0.0007721382,0.0004164888,0,0.000258141,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554801","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100731",0.0012594528,0.00050149512,0,0.000292998,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554802","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100732",0.001129536,0.00040216014,0,0.000274987,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554803","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100699",0.0009398022,0.00032093004,0,0.0002335428,"no_treatment","end","end","Baseline","GSM3554804","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100698",0.0006972876,0.00037527018,0,0.0002228244,"no_treatment","end","end","Baseline","GSM3554805","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100734",0.0006518076,0.00035415258,0,0.000211896,"no_treatment","end","end","Baseline","GSM3554806","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100694",0.001454568,0.00042390006,0,0.0002409262,"no_treatment","end","end","Baseline","GSM3554807","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100735",0.0007317582,0.00043120146,0,0.000233708,"no_treatment","end","end","Baseline","GSM3554808","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100736",0.001130577,0.00041304894,0,0.0002118128,"antiPD1; antiCTLA4;","end","end","NR","GSM3554809","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100737",0.000712059,0.0003508119,0,0.00019795526,"antiPD1; antiCTLA4;","end","end","NR","GSM3554810","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100702",0.0006827322,0.00034084806,0,0.00018862812,"antiPD1; antiCTLA4;","end","end","NR","GSM3554811","p53-2225L","Mammary cancer, NOS","GSE124821"
"SRX5100697",0.002282022,0.0013298094,0,0.0003969378,"no_treatment","end","end",NA,"GSM3554812","p53-2245","Mammary cancer, NOS","GSE124821"
"SRX5100696",0.000752073,0.00028188654,0,0.00011064924,"no_treatment","day3","day3","Baseline","GSM3554813","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100695",0.0009060522,0.00025241172,0,0.00010018238,"no_treatment","day3","day3","Baseline","GSM3554814","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100704",0.0010879446,0.00032780394,0,0.00013636724,"no_treatment","day3","day3","Baseline","GSM3554815","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100703",0.000991002,0.00033090924,0,0.00013698964,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554816","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100668",0.0013554036,0.00033134832,0,0.00014726384,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554817","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100669",0.000954576,0.00026168046,0,0.00010346784,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554818","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100666",0.0012777468,0.0004350954,3.390196e-05,0.0002413974,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554819","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100667",0.0007526238,0.0003002892,0,8.180846e-05,"antiPD1; antiCTLA4;","day3","day3","NR","GSM3554820","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100672",0.0018360264,0.00049392786,0,0.00018126126,"no_treatment","end","end","Baseline","GSM3554821","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100635",0.0019439364,0.00052672956,0,0.00014552784,"no_treatment","end","end","Baseline","GSM3554822","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100664",0.0008446206,0.00032265738,0,6.660248e-05,"no_treatment","end","end","Baseline","GSM3554823","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100662",0.0012106968,0.00056570586,0,0.00015737398,"no_treatment","end","end","Baseline","GSM3554824","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100637",0.001264152,0.00053900598,0,8.24885e-05,"no_treatment","end","end","Baseline","GSM3554825","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100634",0.000926877,0.00032028456,0,0.00012082946,"no_treatment","end","end","Baseline","GSM3554826","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100673",0.002814789,0.0007453716,0,0.000262479,"no_treatment","end","end","Baseline","GSM3554827","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100640",0.0013063002,0.0005990502,0,0.00018194958,"no_treatment","end","end","Baseline","GSM3554828","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100633",0.0009776556,0.00046859886,0,0.00018236126,"antiPD1; antiCTLA4;","end","end","NR","GSM3554829","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100670",0.00104322,0.00055021782,0,0.00011491462,"antiPD1; antiCTLA4;","end","end","NR","GSM3554830","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100671",0.0015037992,0.0005376492,0,0.00015339462,"antiPD1; antiCTLA4;","end","end","NR","GSM3554831","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100663",0.0015008628,0.00041505678,0,0.00014092316,"antiPD1; antiCTLA4;","end","end","NR","GSM3554832","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100636",0.001108371,0.00048665418,0,0.0002022562,"antiPD1; antiCTLA4;","end","end","NR","GSM3554833","p53-2336R","Mammary cancer, NOS","GSE124821"
"SRX5100639",0.0015155922,0.000669354,0,0.000282744,"no_treatment","end","end",NA,"GSM3554834","p53-9263-3","Mammary cancer, NOS","GSE124821"
"SRX5100719",0.001766568,0.00039655212,0,0.0001759236,"no_treatment","day3","day3",NA,"GSM3554835","p53-9263-3","Mammary cancer, NOS","GSE124821"
